province,city,district,name,score,comment_number,month_sales,avg_price,category,delivery_time,delivery_tip,delivery_type,in_time_delivery_percent,min_price,shipping_fee,lat,lng,hours,buz_code
重庆市,重庆市,綦江区,法爵蛋糕店,0.0,113,月售2,人均 ¥112,甜蜜蛋糕,70分钟,由商家提供配送服务,0,0,起送 ¥68,免配送费,29.013513,106.660842,07:00-20:00,1
广西壮族自治区,南宁市,江南区,蛙小帅铁锅牛蛙（江南盛天地店）,4.5,666,月售1255,,美食 干锅,35分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥80,免配送费,22.767647,108.272989,"00:00-00:59,11:00-23:59",0
吉林省,长春市,朝阳区,果然不同鲜果切,0.0,35,月售200+,,生鲜果蔬,95分钟,由 美团跑腿 提供配送服务,0,0,起送 ¥80,免配送费,43.85417,125.301669,00:00-23:59,1
四川省,广元市,利州区,米兰花艺,0.0,0,月售0,,浪漫鲜花,120分钟,由商家提供配送服务,0,0,起送 ¥80,免配送费,32.427895,105.823348,09:00-21:00,1
广西壮族自治区,北海市,海城区,丹姐烧烤,0.0,7,月售29,,美食 烧烤,56分钟,由商家提供配送服务,0,0,起送 ¥88,配送 ¥5,21.029138,109.116314,"00:00-02:00,17:40-23:59",0
陕西省,西安市,长安区,菜老包（航天六院店）,3.9,21,月售100+,,生鲜果蔬,45分钟,由 美团跑腿 提供送餐服务,0,0,起送 ¥88,配送 ¥4,34.159981,108.967181,08:30-19:00,1
陕西省,汉中市,宁强县,王记.麻辣香黑面皮（西街口店）,5.0,71,月售138,人均 ¥9,美食 凉皮/凉粉/擀面皮,30分钟,,1,100,起送 ¥9,配送 ¥3,32.828704,106.259221,07:30-23:30,0
河北省,保定市,安国市,植美季花坊,0.0,0,月售1,,浪漫鲜花,42分钟,,1,0,起送 ¥9.9,配送 ¥1,38.432061,115.307691,08:00-18:30,1
黑龙江省,伊春市,南岔县,欣欣好面馆,0.0,13,月售6,,美食 其他面馆,40分钟,,1,0,起送 ¥9.9,配送 ¥3.9,47.133921,129.292392,09:00-19:00,0
江苏省,扬州市,邗江区,建东果园,3.2,148,月售16,,生鲜果蔬,60分钟,由美团快送提供配送服务,0,0,起送 ¥9.9,夜间配送 ¥5,32.386107,119.395172,10:00-22:00,1
陕西省,商洛市,商南县,滋爽掉渣饼,4.9,74,月售100+,,美食 烧饼/馅饼,35分钟,,1,100,起送 ¥9.9,配送 ¥0.5,33.531306,110.883565,07:10-23:10,0
陕西省,延安市,宝塔区,改芳面皮饸饹,0.0,9,月售13,,美食 凉皮/凉粉/擀面皮,30分钟,,0,,起送 ¥9.9,配送 ¥2,36.569438,109.470709,10:00-21:00,0
