457,紫燕百味鸡（深圳丽沙花都店）,4.7
458,光头佬卤味熟食(沙井店),暂无评分
459,重庆面庄(庄村店),暂无评分
460,三十卤猪蹄.卤粉.卤面(上星店),4.3
461,绝味鸭脖(沙井形色城店),5
462,煌上煌酱鸭（宝安区沙井庄村店）,4.4
463,你好包子·茂名烧腊(万家蓢路店),暂无评分
464,栖头鸭(万丰店),5
465,绝味鸭脖（沙井华润万家店）,4.8
466,煌上煌酱鸭(沙井万丰村口店),5
467,卤掌柜烧腊卤味,暂无评分
468,梅县盐焗鸡(万丰店),4
469,海记盐焗店(沙井店),暂无评分
470,杨小卤(新桥店),暂无评分
471,林记桐坑鲜牛肉(新桥总店),暂无评分
472,坊间客·酱爆猪手(新桥二店),暂无评分
473,绝味鸭脖（宝安名仕国际店）,5
474,海哥盐焗店,暂无评分
475,煌上煌酱鸭(宝安区万丰店),5
476,九九鸭(芙蓉店),5
477,好又来鸭头王桂林干捞粉,5
478,现捞卤坊·肠粉·炖汤(沙井店),暂无评分
479,酱爆猪手,5
480,南京鸭血粉丝汤(沙井店),4.6
481,潮汕牛肉汤粉(粿条汤万丰店),4.3
482,绍科蒸鸡滋补蒸鸡,4.7
483,淮南牛肉汤·锅贴·烤饼,4.2
484,掌上蒸鸡·滋补蒸鸡·柠檬鸡爪,4.2
485,老广炖汤(沙井店),4.7
486,紫金八刀汤(万丰店),4.1
487,小羊墩墩羊肉粉(沙井旗舰店),4.8
488,老妈妈·特色老母鸡汤,5
489,客家蒸鸡.炖汤(沙井店),4.7
490,南昌米粉·瓦罐汤(新田店),暂无评分
491,三卷烧饼店.牛肉汤(京基百纳店),4.5
492,桐坑牛肉粿(环镇路店),4.7
493,熊猫蒸鸡(松岗店),5
494,蒸食汇滋补蒸鸡(桥头店),4.4
495,黄牛肉精作面馆,5
496,粤府御膳炖品(固戍店),暂无评分
497,凤在飞猪肚鸡(宝安福城万达店),3
498,杭州小笼包(厚德学校店),4
499,百家汤馆(上星店),暂无评分
500,河南羊汤烩面,暂无评分
501,筒骨鲜粉·筒骨粉·米线(新桥店),暂无评分
502,兴记紫金八刀汤,暂无评分
503,时尚锡纸窑鸡,暂无评分
504,谢姐汤膳蒸品店,暂无评分
505,香港玖记炖品·鲍鱼饭(红星店),暂无评分
506,梁振辉烧鹅炖品店,暂无评分
507,古茗(新桥店),4.7
508,五月烘焙,5
509,觅甜糖水店(上南店),暂无评分
510,品客幸福一点蛋糕店,4
511,幸福西饼蛋糕面包(黄埔店),5
512,化州甜品,5
513,项羽哥奶茶店,4.9
514,正宗化州糖水(新二店),5
515,唯客嘉美芝轩蛋糕(新桥店),4.4
516,葉子于茶·热狗肠·秘制鱼蛋,暂无评分
517,雅顿蛋糕坊(新二店),暂无评分
518,幸福西饼蛋糕面包(万科星城店),4.8
519,子情贝诺(万科星城店),5
520,姚言·奶茶·鲜果茶(沙井上星店),暂无评分
521,东缘蛋糕·酥饼·下午茶(新桥店),暂无评分
522,子情贝诺(上星店),3.9
523,幸福西饼蛋糕面包(沙井天虹店),4
524,米拉咖啡馆·MILA·COFFEE,5
525,卡玛王子蛋糕(形色城店),4.7
526,1点点(新桥万丰村店),4.5
